"","PEAKID","PKNAME","PKNAME2","LOCATION","HEIGHTM","HEIGHTF","HIMAL","REGION","OPEN","UNLISTED","TREKKING","TREKYEAR","RESTRICT","PHOST","PSTATUS","PEAKMEMO","PYEAR","PSEASON","PEXPID","PSMTDATE","PCOUNTRY","PSUMMITERS","PSMTNOTE","REFERMEMO","PHOTOMEMO"
"358","RAUN","Raungsiyar",NA,"Rolwaling Himal (N of Pimu)",6224,20420,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1111","2015",3,"RAUN15301","Oct 04","Nepal","Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",NA,NA,NA
"359","LDAK","Langdak",NA,"Rolwaling Himal (N of Raungsiyar and Pimu)",6220,20407,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1113","2015",3,"LDAK15301","Oct 05","Nepal","Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",NA,NA,NA
"360","TKRE","Takargo East","Thakar Go East, Dragker-go East","Rolwaling Himal (ESE of Takargo)",6152,20184,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1115","2015",3,"TKRE15301","Oct 06","Nepal","Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",NA,NA,NA
"361","OMIT","Omitso Go","Omi Tso Go","Rolwaling Himal (NE of Kang Nachugo on Tibetan border)",6332,20774,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1117",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"362","CBAM","Chhopa Bamare","Chomo Pamari","Rolwaling Himal (NW of Lamabagar on Tibetan border)",6109,20043,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1119","2019",4,"CBAM18401","Feb 28","USA, France","John Kelley, Benjamin Billet",NA,NA,NA
"363","YALW","Yalung Kang West",NA,"Kangchenjunga Himal (W summit of Yalung Kang)",8077,26499,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1120",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"364","KANN","Kangchenjunga North",NA,"Kangchenjunga Himal (small knob north of Main summit)",7938,26043,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",5,1,"1122",NA,0,NA,NA,NA,"Unclimbed?","Possibly traversed on KANG ascents from north",NA,NA
"365","KBNE","Kangbachen East","Kambachen East","Kangchenjunga Himal (plateau SE of Kangbachen?)",7780,25525,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1123",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"366","HERZ","Herzog Peak","Khangsar Khang West","Annapurna Himal (WSW of Roc Noir)",7555,24787,1,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1125",NA,0,NA,NA,NA,"Climbed?","Likely climbed on traverses to ANNE",NA,NA
"367","GANW","Gangapurna West","Lachenal Peak, Asapurna","Annapurna Himal (W of Gangapurna)",7140,23425,1,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1126",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"368","CHMR","Chamar","Shringi Himal","Shringi Himal (SSE of Chamar)",7161,23494,5,4,TRUE,FALSE,FALSE,NA,NA,1,1,"1127",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"369","NGAP","Nepal Gap Peak","Nepal Gyap Peak","Kangchenjunga Himal (ENE of Gimmegela on Indian border)",7007,22989,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",5,1,"1128",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"370","GAUS","Gaurishankar South","Gauri","Rolwaling Himal (S of Gaurishankar)",7010,22999,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1130","1979",3,"GAUS79301","Nov 09","UK","Peter Boardman, Pemba Lama, Timothy Leach, Guy Neithardt",NA,NA,NA
"371","BURK","Burke Kang","Burke Khang","Khumbu Himal (ENE of Hungchhi on Tibetan border)",6942,22776,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1132","2017",3,"BURK17301","Oct 05","Ireland, Nepal","Noel Hanna, Samden Bhote, Nanda Dorje Sherpa, Pemba Tshering (Maila) Sherpa",NA,NA,NA
"372","HMLE","Himlung East",NA,"Peri Himal (E of Himlung Himal on Tibetan border)",6932,22743,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1134","2017",1,"HMLE17101","May 08","France, Nepal","Paulo Grobel, Isabelle Guillaume, Rajan Lama Bhote, Jangbu Sherpa",NA,NA,NA
"373","YNGS","Yangra Kangri South","Yangra South, Ganesh I South","Ganesh Himal (NW of Ganesh III on Tibetan border)",6863,22516,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1135",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"374","NUPL","Nup La Kang","Nupla Khang","Khumbu Himal (N of Nup La on Tibetan border)",6861,22510,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1136","2018",3,"NUPL18301","Nov 02","USA, Norway",NA,NA,NA,NA
"375","CHUM","Chumbu",NA,"Khumbu Himal (WSW of Khangri Shar near Tibetan border)",6859,22503,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1138",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"376","PHUG","Phu Kang Go","Phu Khang Go, Athahra Saya Khola Himal","Peri Himal (SE of Cheo on Tibetan border)",6767,22201,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1140","2011",3,"PHUG11301","Oct 27","France, Belgium","Paulo Grobel, Benoit Van Lerberghe",NA,NA,NA
"377","GURA","Guras",NA,"Guras Himal (NE of Nampa on Tibetan border)",6744,22126,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1141",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"378","THRK","Tharke Kang","Tharke Khang","Khumbu Himal (S of Nup La on Tibetan border)",6710,22014,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1142","2017",3,"THRK17301","Nov 03","USA, Nepal","Garrett Madison, Kristin Bennett, Lisa Thompson, Ang Phurba Sherpa, Lhakpa Dendi Sherpa, Pasang Dawa Sherpa, Tashi Sherpa",NA,NA,NA
"379","HUGO","Hulang Go",NA,"Peri Himal (WNW of Ratna Chuli on Tibetan border)",6687,21939,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",5,1,"1144",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"380","SHNW","Shershon Northwest",NA,"Makalu Himal (NW of Shershon on Tibetan border)",6682,21923,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1145","1980",3,"SHNW80301","Oct 15","UK, France","Doug Scott, Roger Baxter-Jones, Georges Bettembourg",NA,NA,NA
"381","AGLE","Agole East","Angole East","Rolwaling Himal (E of Tengi Ragi Tau)",6675,21900,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1148",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"382","ROLK","Rolwaling Kang","Rolwaling Khang","Rolwaling Himal (NNE of Tarkago)",6664,21864,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1150","2016",3,"ROLK16301","Oct 19","Japan","Yasuhiro Hanatani, Yuichiro Iida, Maho Ishio, Yohei Kayama, Keisuke Tsunoda, Takuya Yoshikawa",NA,NA,NA
"383","YARW","Yarwa",NA,"Guras Himal (NW of Nampa on Tibetan border)",6644,21798,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1152",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"384","YANG","Yangri","Jugal","Jugal Himal (N of Phurbi Chhyachu on Tibetan border)",6535,21440,8,3,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1153",NA,0,NA,NA,NA,"Unclimbed?","Possibly climbed by Carla Maverna and Irene Affentranger in October 1976 (see AAJ 50:518 (1976))",NA,NA
"385","LCHN","Lachama North",NA,"Changla Himal (N of Lachama Chuli on Tibetan border)",6628,21745,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1155",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"386","CHNG","Changdi",NA,"Palchung Himal (SE of Kanti Himal peak on Tibetan border)",6623,21729,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1156",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"387","GOLD","Goldum Peak","Pangri Goldumba","Jugal Himal (on Tibetan border)",6632,21759,8,3,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1157",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"388","THOC","Thoche Go",NA,"Peri Himal (SE of Cheo Himal on Tibetan border)",6602,21660,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1159",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"389","KCHS","Kangchung Shar","Khangchung, Kangcho Shar, UIAA Peak","Khumbu Himal (NE of Gokyo Lake)",6063,19892,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1160","1984",3,"KCHS84301","Nov 01","Yugoslavia","Francek Knez","Ascents reported by Jan Kielkowski: on 1 Nov 1984 by Francek Knez; on 21 Nov 1984 by Trevor Pilling",NA,NA
"390","PHUN","Phu Kang North","Phu Khang North","Peri Himal (N of Cheo Himal on Tibetan border)",6580,21588,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1162",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"391","PTHE","Pethangtse East",NA,"Khumbu Himal (ESE of Pethangtse on Tibetan border)",6572,21562,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1164","2008",1,"PTHE08101","May 16","UK","Andrew Hughes, Alistair Barnard, Nichcolas Beighton, Chris Fawcett, Daniel Greig-Smith, Benjamin Sherwood","Climbed by British Services Makalu Expedition led by Andrew Hughes",NA,NA
"392","PHNG","Phungi",NA,"Peri Himal (SE of Ratna Chuli on Tibetan border)",6524,21404,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1166",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"393","KNTE","Kanti Himal East",NA,"Kanti Himal (ENE of Kanti Himal on Tibetan border)",6516,21378,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1169",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"394","JARK","Jarkya",NA,"Manaslu Himal (N of Larkya La on Tibetan border)",6473,21237,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1170",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"395","MARW","Mariyang West",NA,"Kanti Himal (WSW of Mariyang on Tibetan border)",6455,21178,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1171",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"396","MAYT","Mayonthang Kang","Mayun Thang Khang","Kanti Himal (NW of Changdi Himal on Tibetan border)",6449,21158,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1172",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"397","LNJU","Langju","Lajo Dada","Shringi Himal (S of Tobsar)",6426,21083,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1173","2017",3,"LNJU17301","Oct 17","Japan","Norifumi Fukuda, Kojuro Hagihara, Yudai Suzuki",NA,NA,NA
"398","JYAC","Jyachhung",NA,"Byas Risi Himal (NNW of Nampa on Tibetan border)",6338,20794,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1174",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"399","GYLA","Gyala",NA,"Manaslu Himal (NNE of Larkya La on Tibetan border)",6363,20876,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1175",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"400","DOLM","Dolma Khang","Tseringma","Rolwaling Himal (SE of Gaurishankar on Tibetan border)",6332,20774,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1176","1980",1,"DOLM80101","Apr 11","Australia, Nepal","Graham Brammer, Paul Richards, Shambu Tamang",NA,NA,NA
"401","KAIP","Kaipuchonam",NA,"Kanti Himal (WNW of Changdi on Tibetan border)",6329,20764,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1178",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"402","LDNG","Langdung","Ripumutse","Rolwaling Himal (WSW of Ripimo Shar on Tibetan border)",6326,20755,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1179","2017",4,"LDNG17401","Dec 20","Nepal","Nima Tenji Sherpa, Dawa Gyalje Sherpa, Dawa Yangzum Sherpa, Pasang Kitar Sherpa",NA,NA,NA
"403","DZA2","Dzanye II",NA,"Janak Himal (S of Danzye Peak)",6318,20728,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1183","2015",3,"DZA215301","Oct 04","Japan","Takanori Mashimo, Kotaro Myatsu, Kenta Kimura, Shinnosuke Ashikari, Shun Katsurai, Takehiro Nozawa",NA,NA,NA
"404","PAMA","Pama Himal",NA,"Shringi Himal (N of Chamar on Tibetan border)",6300,20669,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1185",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"405","PERH","Peri Himal",NA,"Peri Himal (SE of Cheo Himal on Tibetan border)",6296,20656,18,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1186",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"406","TAKL","Takla Kang","Takla Khang","Kanti Himal (SSE of Kanti Himal peak on Tibetan border)",6276,20591,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1187",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"407","KOGI","Kogi Khang North","Kogi Kang North","Kanti Himal (ESE of Kanti Himal peak on Tibetan border)",6275,20587,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1188",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"408","ASAJ","Asajya Tuppa",NA,"Gorakh Himal (ENE of Simikot on Tibetan border)",6265,20554,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1189",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"409","KOJS","Kojichuwa South",NA,"Kanti Himal (SW of Kojichuwa Chuli on Tibetan border)",6264,20551,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1190",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"410","PKAR","Pankar Himal",NA,"Manaslu Himal (ENE of Samagaon on Tibetan border)",6264,20551,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1191","2018",1,"PKAR18101","May 08","Japan","Yasuhiro Hanatani, Reo Chikara, Ryosuke Matsuyama, Daijo Saito, Tatsuro Sugimoto, Airi Watanabe",NA,NA,NA
"411","SAUL","Saula",NA,"Manaslu Himal (ENE of Samagaon on Tibetan border)",6235,20456,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1192",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"412","YARA","Yala Chuli","Yara Chuli","Palchung Himal (SE of Changdi on Tibetan border)",6236,20459,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1193",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"413","RHIM","Rhimbu",NA,"Shringi Himal (S of Tobsar)",6210,20374,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1194",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"414","SANC","Sanctuary Peak",NA,"Kanjiroba Himal (N of Kanjiroba North)",6207,20364,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1195",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"415","LASA","Lasa",NA,"Byas Risi Himal (NNW of Nampa on Tibetan border)",6189,20305,2,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1196",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"416","PERI","Peri",NA,"Langtang Himal (SE of Langtang Ri on Tibetan border)",6174,20256,13,3,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1197","2016",3,"PERI16301","Dec 06","Italy, Nepal","Werner Frei, Pasang Sherpa, Sandesh Sherpa",NA,NA,NA
"417","DWIJ","Dwijen Himal",NA,"Shringi Himal (NE of Ghap village on Tibetan border)",6169,20240,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1198",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"418","JABR","Jabou Ri",NA,"Rolwaling Himal (S of Tarkago)",6166,20230,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1199","2015",3,"JABR15301","Sep 15","USA","Ryan Waters, Eric Larsen",NA,NA,NA
"419","BEDG","Beding Go","Bedding Go","Rolwaling Himal (N of Beding village on Tibetan border)",6125,20095,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1201","2015",3,"BEDG15301","Oct 21","Nepal, Canada, Brazil, Ireland","Mingma Tshering/Tsiri Sherpa, Dean Carriere, Dino De Almeida Camargo, Cian O'Brolchain, Nima Gyalzen Sherpa, Pasang Tenzing Sherpa, Tshering Pemba Sherpa",NA,NA,NA
"420","TAKN","Takphu North",NA,"Nalakankar Himal (on W Nepal/Tibetan border)",6142,20151,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1203","2016",3,"TAKN16301","Oct 12","Germany, Nepal","Herbert Bader, Karl Henge, Tassilo Hock, Josef Knitz, Annabelle Rochelt, Alois Sinz, Bhai Krishna Khadka",NA,NA,NA
"421","BHUL","Bhulu Lhasa",NA,"Kanjiroba Himal (NNW of Kanjiroba North)",6102,20020,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1204","1964",3,"BHUL64301","Oct 31","UK, Nepal","John Tyson, John Cole, Robert Kendall, Mingma Sherpa",NA,NA,NA
"422","LNAK","Lhonak","Rifil Peak","Janak Himal (WNW of Drohmo)",6070,19915,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1205",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"423","ROLM","Rolmi",NA,"Shringi Himal (S of Tobsar)",6056,19869,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1206","2017",3,"ROLM17301","Oct 01","Nepal","Narendra Shahi, Iman Gurung, Samir Gurung",NA,NA,NA
"424","ACHN","Aichyn","Aychin, Ashvin","Chandi Himal (SW of Changwathang)",6055,19865,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1207","2015",3,"ACHN15301","Sep 03","Japan","Hiroki Senda, et al",NA,NA,NA
"425","ARDN","Ardang",NA,"Phupharka Himal (NW of Simikot)",6034,19797,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1209",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"426","LUNG","Lungchhung",NA,"Palchung Himal (NE of Kanjiroba on Tibetan border)",6043,19826,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1210",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"427","KHNG","Khung",NA,"Palchung Himal (NE of Kanjiroba on Tibetan border)",6024,19764,11,7,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1212",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"428","CHND","Chandi Himal",NA,"Chandi Himal (NE of Simikot on Tibetan border)",6142,20151,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"1214",NA,0,NA,NA,NA,"Unclimbed","Climbed illegally by Sean Burch in October 2016?",NA,NA
"429","KALI","Kali Himal","Chota Ri, Baruntse North","Khumbu Himal (NW of Baruntse)",6985,22917,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1215","1983",1,"KALI83101","Apr 05","Netherlands","Joost Ubblink, Edwin Van Nieuwkerk",NA,NA,NA
"430","DHEC","Dhechyan Khang",NA,"Damodar Himal (ESE of Gaugiri on Tibetan border)",6019,19747,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,2,"1217","2018",1,"DHEC18101","May 05","Austria, Germany, Nepal","Wolfgang Drexler, Martin Thallmair, Lawang Tamang, Yokachi Tamang",NA,NA,NA
"431","EKRA","Ek Rate Danda",NA,"Khumbu Himal (in Hongku Valley, S of Chamlang)",6213,20384,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1218",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"432","GHYN","Ghyun Himal I",NA,"Mustang Himal (N of Ghyun Khola on Tibetan border)",6110,20046,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2014",4,1,"1219",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"433","GORH","Gorakh Himal",NA,"Gorakh Himal (NE of Simikot on Tibetan border)",6198,20335,17,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",4,1,"1221",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"434","HONK","Hongku","Hongku Chuli Nup, Honku, Sura Peak","Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",6764,22192,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"1222","2015",3,"HONK15301","Oct 09","France","Alberto Inurrategi Iriarte, Juan Vallejo Llanos, Miguel Zabalza Azkona","Possibly first climbed in the 1980s",NA,NA
"435","KARK","Karko",NA,"Saipal Himal (WNW of Saipal)",6015,19734,20,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1224",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"436","KARS","Karsang Kang","Kharsang","Damodar Himal (NE of Saribung)",6225,20423,3,5,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,2,"1225","2008",3,"KARS08301","Oct 11","France","Paulo Grobel, Mary Cler",NA,NA,NA
"437","KHAY","Khayang",NA,"Manaslu Himal (E of Samdo Peak on Tibetan border)",6186,20295,15,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"1226",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"438","GYLZ","Gyalzen Peak","Gyaltsen Peak","Jugal Himal (SE of Leonpo Gang on Tibetan border)",6151,20180,8,3,TRUE,FALSE,FALSE,NA,NA,4,1,"1227",NA,0,NA,NA,NA,"Unclimbed?","Climbed by Japanese in 1961 (then called Gumasi Peak)?",NA,NA
"439","LSAM","Lungsampa","Lung Sampa, Lumsumna","Khumbu Himal (S of Nangpai Gosum II)",6500,21325,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1231","2014",0,NA,NA,"Spain","Jordi Corominas, Jordi Tosas","Tosas and Corominas unconfirmed ascent in 2014 via SSW Ridge",NA,NA
"440","MERS","Mera South",NA,"Khumbu Himal (SW of Mera)",6064,19895,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1234",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"441","PASH","Pashuwo","Pashubo","Ganesh Himal (N of Lampo on Tibetan border)",6177,20266,5,4,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,"1236",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"442","SATO","Sat Peak","Sato Peak","Ohmi Kangri Himal (N of Sharphu range)",6164,20223,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1237",NA,0,NA,NA,NA,"Unclimbed?","Possibly climbed by Japanese in 1960s as Nupchu",NA,NA
"443","TSKP","Tso Karpo",NA,"Kanjiroba Himal (E of Kanjiroba, W of Tso Karpo Kang)",6518,21385,10,7,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1242",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"444","SPH2","Sharphu II","Tanga II","Ohmi Kangri Himal (WNW of Kangchenjunga)",6328,20761,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1246","201",3,"SPH218301","Oct 26","USA","Aivaras Sajus, Spencer Gray",NA,NA,NA
"445","SPH3","Sharphu III","Marson","Ohmi Kangri Himal (WNW of Kangchenjunga)",6220,20407,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1255",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"446","SPH4","Sharphu IV","Nupchu","Ohmi Kangri Himal (WNW of Kangchenjunga)",6172,20249,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"1264","1962",1,"SPH462101","May 20","Japan","Takayuki Tsubaki, Chotare Sherpa",NA,NA,NA
"447","SPH5","Sharphu V","Tanga III","Ohmi Kangri Himal (WNW of Kangchenjunga)",6158,20203,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1273",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"448","SPH6","Sharphu VI",NA,"Ohmi Kangri Himal (WNW of Kangchenjunga)",6076,19934,6,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,1,"1282",NA,0,NA,NA,NA,"Unclimbed?",NA,NA,NA
"449","MNSS","Mansail South","Manshail South","Mustang Himal (S of Mansail on Tibetan border)",6248,20499,16,6,TRUE,FALSE,FALSE,NA,"Opened in 2014",1,1,"1291",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"450","GDNG","Gave Ding",NA,"Changla Himal (N of Lachama Chuli on Tibetan border)",6581,21591,17,7,FALSE,TRUE,FALSE,NA,"Requires permit for Lachama Chuli",4,2,NA,"2015",3,"GDNG15301","Oct 22","UK","Michael Fowler, Paul Ramsden",NA,NA,NA
"451","NGO3","Ngojumba Kang III","Hillary Peak","Khumbu Himal (NE of Cho Oyu on Tibetan border)",7681,25200,12,2,TRUE,FALSE,FALSE,NA,"Opened in 2014 as Hillary Peak",4,1,"1293",NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
"452","KIMS","Kimshung","Kinshung, Tsangbu Ri","Langtang Himal (NE of Langtang Lirung)",6781,22247,13,3,FALSE,TRUE,FALSE,NA,NA,1,1,"1296",NA,0,NA,NA,NA,NA,NA,NA,NA
"453","PAWR","Pawar Central","Chaar Baatsa","Pawar Himal (N of Larkya La)",6621,21722,18,5,FALSE,TRUE,FALSE,NA,NA,1,2,"1298","2015",1,"PAWR15101","May 09","France","Paulo Grobel, Frank Bonhomme, Christian Hurgon, Dhan Bahadur Magar, Dipen  Nuppa Bhote, Jangbu Sherpa, Rajan Lama Bhote",NA,NA,NA
"454","NGOR","Nagoru",NA,"Peri Himal (NW of Himlung Himal)",6165,20226,18,5,FALSE,TRUE,FALSE,NA,NA,1,2,"1299","2016",3,"NGOR16301","Oct 21","Austria, Nepal","Wolfgang Drexler, Lawang Tamang",NA,NA,NA
"455","SALD","Saldim",NA,"Makalu Himal (ENE of Shershon village on Tibetan border)",6374,20912,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,1,NA,NA,0,NA,NA,NA,"Unclimbed",NA,NA,NA
