"","PEAKID","PKNAME","PKNAME2","LOCATION","HEIGHTM","HEIGHTF","HIMAL","REGION","OPEN","UNLISTED","TREKKING","TREKYEAR","RESTRICT","PHOST","PSTATUS","PEAKMEMO","PYEAR","PSEASON","PEXPID","PSMTDATE","PCOUNTRY","PSUMMITERS","PSMTNOTE","REFERMEMO","PHOTOMEMO"
"236","LNKE","Lunchhung Kamo East",NA,"Kanti Himal (SE of Danfe Sail on Tibetan border)",6024,19764,11,7,FALSE,TRUE,FALSE,NA,NA,1,2,"857","1999",2,"LNKE99201","Jul 09","Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",NA,NA,NA
"237","LIK1","Linkhu Chuli Shar","Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I","Rolwaling Himal (S of Parchamo)",6719,22044,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"858","2013",3,"LIK113301","Nov 13","Germany","Ines Papert",NA,NA,NA
"238","LIK2","Linkhu Chuli Nup","Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II","Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,21847,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"860","1960",3,"LIK260301","Oct 21","France, Nepal","Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa",NA,NA,NA
"239","PANT","Panalotapa","Paniyo Tapa, Paniyo Tippa","Rolwaling Himal (W of Tengkangpoche)",6687,21939,19,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,2,"862","1955",1,"PANT55101","May","UK","Peter Boultbee, Dennis Davis",NA,NA,NA
"240","SHAL","Shalbachum","Salbachum, Phrul Rangtshan Ri","Langtang Himal (E of Langtang Lirung on Tibetan border)",6707,22005,13,3,TRUE,FALSE,FALSE,NA,"Opened in 2003",4,2,"864","1959",3,"SHAL59301","Oct 25","Japan, Nepal","Sadao Hojo, Tetsuro Terahata, Dawa Thondup Sherpa, Pasang Temba Sherpa",NA,NA,NA
"241","KHUM","Khumbutse",NA,"Khumbu Himal (NW of Lho La on Tibetan border)",6639,21781,12,2,TRUE,FALSE,FALSE,NA,NA,4,1,"867",NA,0,NA,NA,NA,"Unclimbed","1989 Polish Everest team traversed S Smt of Khumbutse (~6400m)",NA,NA
"242","BOKT","Boktoh","Bokta","Kangchenjunga Himal (SE of Jannu)",6114,20059,9,1,FALSE,FALSE,TRUE,NA,"Opened in 2002",1,2,"869","1991",1,"BOKT91101","Apr 10","Yugoslavia","Marko Prezelj, Uros Rupar, Andrej Stremfelj","Boktoh possibly climbed in 1959 by Lionel Terray and Rene Desmaison during exploration of Jannu SW side",NA,NA
"243","MOJC","Mojca","Mojka","Kangchenjunga Himal (W of Ramtang Chang)",6024,19764,9,1,TRUE,FALSE,FALSE,NA,"Opened in 2002",1,2,"872","1974",3,"MOJC74301","Oct 11","Yugoslavia","Stane Belak, Danilo Cedilnik","Illegal ascent",NA,NA
"244","PLNG","Palung","Palung Ri","North of Cho Oyu (in Tibet)",7012,23005,12,2,FALSE,TRUE,FALSE,NA,"Peak entirely within China",2,2,"874","1952",1,"PLNG52101","May 13","New Zealand","Edmund Hillary, George Lowe",NA,NA,NA
"245","TUTS","Tutse","Peak 6, Nephu","Makalu Himal (SE of Makalu)",6758,22172,14,2,TRUE,FALSE,FALSE,NA,"Opened in 2003",1,1,"875",NA,0,NA,NA,NA,"Unclimbed?","Possibly climbed during acclimatization for Makalu by various teams",NA,NA
